f,s11r,s11c,s12r,s12c,e,f,g,h
204205,-0.10442244,0.023186522,0.892904128,-0.06672504,0,0,0,0
205845,-0.104509824,0.023361,0.893100544,-0.0671622,0,0,0,0
207485,-0.10452732,0.023546018,0.8930384,-0.06717432,0,0,0,0
209124,-0.104585264,0.0236166,0.893019968,-0.067517312,0,0,0,0
210764,-0.104627776,0.023841336,0.892982336,-0.067623768,0,0,0,0
212404,-0.104561968,0.023840914,0.892926656,-0.06804124,0,0,0,0
214044,-0.10455512,0.024039624,0.892902144,-0.068138368,0,0,0,0
215684,-0.104643528,0.024141964,0.893305344,-0.068605584,0,0,0,0
217323,-0.104504752,0.024276302,0.89269408,-0.068679808,0,0,0,0
218963,-0.10440524,0.024326766,0.89318112,-0.068831272,0,0,0,0
220603,-0.104565656,0.024664236,0.892892224,-0.069323632,0,0,0,0
222243,-0.104520848,0.024750408,0.892957952,-0.069553856,0,0,0,0
223883,-0.104467312,0.024709174,0.892872576,-0.069698344,0,0,0,0
225522,-0.104621664,0.02475547,0.892678528,-0.06980468,0,0,0,0
227162,-0.104475768,0.025005064,0.8929376,-0.070122624,0,0,0,0
228802,-0.104537368,0.024998612,0.892356032,-0.07028812,0,0,0,0
230442,-0.104516704,0.025009546,0.8928944,-0.07047124,0,0,0,0
232082,-0.1044788,0.025210426,0.892830976,-0.070708616,0,0,0,0
233721,-0.10435368,0.025153968,0.89263584,-0.071138704,0,0,0,0
235361,-0.104504512,0.025507596,0.892614976,-0.071024192,0,0,0,0
237001,-0.104595824,0.025605094,0.892715584,-0.071457704,0,0,0,0
238641,-0.104464872,0.025555546,0.89264704,-0.071566848,0,0,0,0
240280,-0.104608,0.025655704,0.893375488,-0.071958216,0,0,0,0
241920,-0.104400608,0.025802718,0.892738752,-0.071848216,0,0,0,0
243560,-0.104509296,0.025868856,0.892755904,-0.072238656,0,0,0,0
245200,-0.104410528,0.025877358,0.892707904,-0.072409936,0,0,0,0
246840,-0.104507792,0.025967322,0.892619968,-0.072706568,0,0,0,0
248479,-0.104379936,0.026045262,0.892594368,-0.072867688,0,0,0,0
250119,-0.1044154,0.02604818,0.89261408,-0.07306896,0,0,0,0
251759,-0.104357152,0.026320896,0.892058496,-0.07306044,0,0,0,0
253399,-0.104434968,0.026366888,0.89264288,-0.073413768,0,0,0,0
255039,-0.10451248,0.026416136,0.892650752,-0.073597088,0,0,0,0
256678,-0.10469252,0.026455014,0.892500096,-0.073847072,0,0,0,0
258318,-0.104396176,0.026721548,0.892671424,-0.074125672,0,0,0,0
259958,-0.104493144,0.026550802,0.89269024,-0.07419756,0,0,0,0
261598,-0.104415496,0.02672553,0.892456768,-0.07455192,0,0,0,0
263238,-0.10450068,0.026746502,0.892983168,-0.074666592,0,0,0,0
264877,-0.104342912,0.026737398,0.892526464,-0.074791128,0,0,0,0
266517,-0.10448452,0.02696536,0.892584064,-0.075054328,0,0,0,0
268157,-0.104396288,0.027029204,0.892516096,-0.075210896,0,0,0,0
269797,-0.104450608,0.027006984,0.892717056,-0.075368424,0,0,0,0
271436,-0.104339944,0.027127172,0.892525312,-0.075469896,0,0,0,0
273076,-0.104558336,0.027102802,0.89243072,-0.075677456,0,0,0,0
274716,-0.104471704,0.027421992,0.892208576,-0.075985208,0,0,0,0
276356,-0.104282864,0.027185616,0.892279808,-0.076274,0,0,0,0
277996,-0.104351424,0.027483788,0.892393536,-0.076240912,0,0,0,0
279635,-0.10439288,0.027384638,0.89249696,-0.076419672,0,0,0,0
281275,-0.104396952,0.02752664,0.8923888,-0.076617376,0,0,0,0
282915,-0.104467968,0.02764935,0.892396672,-0.076888904,0,0,0,0
282915,-0.104376864,0.027614394,0.892209984,-0.076770712,0,0,0,0
