f,s11r,s11c,s12r,s12c,e,f,g,h
94680,-0.1067062,0.002915483,0.89631968,-0.03677252,0,0,0,0
95098,-0.106842904,0.003234756,0.895853632,-0.037024188,0,0,0,0
95516,-0.106411224,0.003390529,0.895876096,-0.037085276,0,0,0,0
95934,-0.106557504,0.003863195,0.89778848,-0.037717184,0,0,0,0
96353,-0.106462064,0.003905031,0.896581376,-0.037285072,0,0,0,0
96771,-0.10670716,0.003791951,0.89722624,-0.037862944,0,0,0,0
97189,-0.10655556,0.004269202,0.897132224,-0.038167264,0,0,0,0
97607,-0.106800648,0.004352061,0.896520064,-0.038107364,0,0,0,0
98026,-0.106673008,0.004461708,0.896688128,-0.038641204,0,0,0,0
98444,-0.106813808,0.00465049,0.896807104,-0.038577936,0,0,0,0
98862,-0.106788448,0.004801518,0.896902912,-0.03928588,0,0,0,0
99280,-0.106742936,0.004927559,0.896776576,-0.038956856,0,0,0,0
99698,-0.106396248,0.005056211,0.89649728,-0.039187076,0,0,0,0
100117,-0.106786432,0.005154362,0.896345152,-0.039596888,0,0,0,0
100535,-0.10667032,0.005384011,0.896379072,-0.03956886,0,0,0,0
100953,-0.10672004,0.005715196,0.896580608,-0.039879548,0,0,0,0
101371,-0.10656092,0.005905963,0.896353152,-0.040180736,0,0,0,0
101789,-0.106722888,0.005909919,0.896953792,-0.04050626,0,0,0,0
102208,-0.10689756,0.006083479,0.89674528,-0.040782428,0,0,0,0
102626,-0.106798504,0.006306184,0.896397248,-0.040696356,0,0,0,0
103044,-0.106732736,0.006252236,0.896321856,-0.04092418,0,0,0,0
103462,-0.106606264,0.00656949,0.896728256,-0.041011252,0,0,0,0
103880,-0.106691416,0.006597952,0.896694272,-0.04123904,0,0,0,0
104299,-0.106772832,0.006806841,0.896335104,-0.041317952,0,0,0,0
104717,-0.10673108,0.007025655,0.896575936,-0.041495776,0,0,0,0
105135,-0.106643096,0.006931055,0.896851072,-0.041907792,0,0,0,0
105553,-0.106783064,0.007099419,0.896625024,-0.041810628,0,0,0,0
105971,-0.106609728,0.007309713,0.89635936,-0.042393624,0,0,0,0
106390,-0.10667628,0.007553667,0.896675328,-0.042408204,0,0,0,0
